Station,Parameter,Timestamp,Value
Mai Khola,Water Level,,1.34099960327
Mai Khola,Water Level,,1.34299945831
Mai Khola,Water Level,,1.3469991684
Mai Khola,Water Level,,1.45300006866
Mai Khola,Water Level,,1.52399921417
Mai Khola,Water Level,,1.48199939728
Mai Khola,Water Level,,1.40699958801
Mai Khola,Water Level,,1.35699939728
Mai Khola,Water Level,,1.32699966431
Mai Khola,Water Level,,1.33699989319
Mai Khola,Water Level,,1.34399986267
Mai Khola,Water Level,,1.32999992371
Mai Khola,Water Level,,1.32800006866
Mai Khola,Water Level,,1.33500003815
Mai Khola,Water Level,,1.3469991684
Mai Khola,Water Level,,1.3469991684
Mai Khola,Water Level,,1.34599971771
Mai Khola,Water Level,,1.33500003815
Mai Khola,Water Level,,1.33299922943
Mai Khola,Water Level,,1.32999992371
Mai Khola,Water Level,,1.32299995422
Mai Khola,Water Level,,1.32899951935
Mai Khola,Water Level,,1.33099937439
Mai Khola,Water Level,,1.34899997711
Mai Khola,Water Level,,1.34799957275
Mai Khola,Water Level,,1.35799980164
Mai Khola,Water Level,,1.35400009155
Mai Khola,Water Level,,1.34599971771
Mai Khola,Water Level,,1.35400009155
Mai Khola,Water Level,,1.33799934387
Mai Khola,Water Level,,1.32999992371
Mai Khola,Water Level,,1.32599925995
Mai Khola,Water Level,,1.32899951935
Mai Khola,Water Level,,1.32199954987
Mai Khola,Water Level,,1.32699966431
Mai Khola,Water Level,,1.32099914551
Mai Khola,Water Level,,1.32800006866
Mai Khola,Water Level,,1.33099937439
Mai Khola,Water Level,,1.32599925995
Mai Khola,Water Level,,1.33299922943
Mai Khola,Water Level,,1.33999919891
Mai Khola,Water Level,,1.32499980927
Mai Khola,Water Level,,1.33699989319
Mai Khola,Water Level,,1.33299922943
Mai Khola,Water Level,,1.32599925995
Mai Khola,Water Level,,1.32299995422
Mai Khola,Water Level,,1.33899974823
Mai Khola,Water Level,,1.33299922943
Mai Khola,Water Level,,1.31799983978
Mai Khola,Water Level,,1.32599925995
Mai Khola,Water Level,,1.32399940491
Mai Khola,Water Level,,1.30999946594
Mai Khola,Water Level,,1.29999923706
Mai Khola,Water Level,,1.29399967194
Mai Khola,Water Level,,1.30099964142
Mai Khola,Water Level,,1.29699993134
Mai Khola,Water Level,,1.31299972534
Mai Khola,Water Level,,1.3109998703
Mai Khola,Water Level,,1.31999969482
Mai Khola,Water Level,,1.31599998474
Mai Khola,Water Level,,1.31899929047
Mai Khola,Water Level,,1.31799983978
Mai Khola,Water Level,,1.31599998474
Mai Khola,Water Level,,1.32999992371
Mai Khola,Water Level,,1.35599994659
Mai Khola,Water Level,,1.41499996185
Mai Khola,Water Level,,1.53399944305
Mai Khola,Water Level,,1.56699943542
Mai Khola,Water Level,,1.62899971008
Mai Khola,Water Level,,1.67099952698
Mai Khola,Water Level,,1.65399932861
Mai Khola,Water Level,,1.63499927521
Mai Khola,Water Level,,1.60799980164
Mai Khola,Water Level,,1.60400009155
Mai Khola,Water Level,,1.57299995422
Mai Khola,Water Level,,1.5579996109
Mai Khola,Water Level,,1.5359992981
Mai Khola,Water Level,,1.52199935913
Mai Khola,Water Level,,1.57599925995
Mai Khola,Water Level,,1.70399951935
Mai Khola,Water Level,,1.65399932861
Mai Khola,Water Level,,1.66599941254
Mai Khola,Water Level,,1.65100002289
Mai Khola,Water Level,,1.62899971008
Mai Khola,Water Level,,1.62599945068
Mai Khola,Water Level,,1.63700008392
Mai Khola,Water Level,,1.60099983215
Mai Khola,Water Level,,1.58599948883
Mai Khola,Water Level,,1.55900001526
Mai Khola,Water Level,,1.5999994278
Mai Khola,Water Level,,1.59799957275
Mai Khola,Water Level,,1.58199977875
Mai Khola,Water Level,,1.57899951935
Mai Khola,Water Level,,1.58399963379
Mai Khola,Water Level,,1.58799934387
Mai Khola,Water Level,,1.58099937439
Mai Khola,Water Level,,1.54299926758
Mai Khola,Water Level,,1.51299953461
Mai Khola,Water Level,,1.50099945068
Mai Khola,Water Level,,1.48999977112
Mai Khola,Water Level,,1.47900009155
Mai Khola,Water Level,,1.48600006104
Mai Khola,Water Level,,1.47599983215
Mai Khola,Water Level,,1.48199939728
Mai Khola,Water Level,,1.44899940491
Mai Khola,Water Level,,1.46299934387
Mai Khola,Water Level,,1.45300006866
Mai Khola,Water Level,,1.43400001526
Mai Khola,Water Level,,1.43699932098
Mai Khola,Water Level,,1.43999958038
Mai Khola,Water Level,,1.42899990082
Mai Khola,Water Level,,1.41699981689
Mai Khola,Water Level,,1.41899967194
Mai Khola,Water Level,,1.41899967194
Mai Khola,Water Level,,1.4139995575
Mai Khola,Water Level,,1.41599941254
Mai Khola,Water Level,,1.41899967194
Mai Khola,Water Level,,1.40899944305
Mai Khola,Water Level,,1.42299938202
Mai Khola,Water Level,,1.40599918365
Mai Khola,Water Level,,1.4109992981
Mai Khola,Water Level,,1.40499973297
Mai Khola,Water Level,,1.39699935913
Mai Khola,Water Level,,1.39599990845
Mai Khola,Water Level,,1.39599990845
Mai Khola,Water Level,,1.40100002289
Mai Khola,Water Level,,1.39599990845
Mai Khola,Water Level,,1.38700008392
Mai Khola,Water Level,,1.39199924469
Mai Khola,Water Level,,1.37599945068
Mai Khola,Water Level,,1.3719997406
Mai Khola,Water Level,,1.37999916077
Mai Khola,Water Level,,1.37599945068
Mai Khola,Water Level,,1.37099933624
Mai Khola,Water Level,,1.36699962616
Mai Khola,Water Level,,1.375
Mai Khola,Water Level,,1.37699985504
Mai Khola,Water Level,,1.37399959564
Mai Khola,Water Level,,1.37799930573
Mai Khola,Water Level,,1.37299919128
Mai Khola,Water Level,,1.37099933624
Mai Khola,Water Level,,1.36699962616
Mai Khola,Water Level,,1.36199951172
Mai Khola,Water Level,,1.37999916077
Mai Khola,Water Level,,1.36499977112
Mai Khola,Water Level,,1.3719997406
Mai Khola,Water Level,,1.3719997406
Mai Khola,Water Level,,1.35799980164
Mai Khola,Water Level,,1.36499977112
Mai Khola,Water Level,,1.35899925232
Mai Khola,Water Level,,1.36199951172
Mai Khola,Water Level,,1.35499954224
Mai Khola,Water Level,,1.36499977112
Mai Khola,Water Level,,1.36199951172
Mai Khola,Water Level,,1.36699962616
Mai Khola,Water Level,,1.36299991608
Mai Khola,Water Level,,1.37099933624
Mai Khola,Water Level,,1.35299968719
Mai Khola,Water Level,,1.36100006104
Mai Khola,Water Level,,1.35699939728
Mai Khola,Water Level,,1.35599994659
Mai Khola,Water Level,,1.35299968719
Mai Khola,Water Level,,1.35099983215
Mai Khola,Water Level,,1.35699939728
Mai Khola,Water Level,,1.34799957275
Mai Khola,Water Level,,1.34799957275
Mai Khola,Water Level,,1.33999919891
Mai Khola,Water Level,,1.33599948883
Mai Khola,Water Level,,1.33899974823
Mai Khola,Water Level,,1.34200000763
Mai Khola,Water Level,,1.33099937439
Mai Khola,Water Level,,1.35400009155
Mai Khola,Water Level,,1.34899997711
Mai Khola,Water Level,,1.34799957275
Mai Khola,Water Level,,1.34599971771
Mai Khola,Water Level,,1.34399986267
Mai Khola,Water Level,,1.33500003815
Mai Khola,Water Level,,1.33199977875
Mai Khola,Water Level,,1.33699989319
Mai Khola,Water Level,,1.31999969482
Mai Khola,Water Level,,1.33699989319
Mai Khola,Water Level,,1.33500003815
Mai Khola,Water Level,,1.33199977875
Mai Khola,Water Level,,1.33099937439
Mai Khola,Water Level,,1.33899974823
Mai Khola,Water Level,,1.34099960327
Mai Khola,Water Level,,1.33699989319
Mai Khola,Water Level,,1.35099983215
Mai Khola,Water Level,,1.34899997711
Mai Khola,Water Level,,1.4749994278
Mai Khola,Water Level,,1.49899959564
Mai Khola,Water Level,,1.4109992981
