"Time","Mai Beni R (mm)","Mai Beni WTR_LVL (m)","Mai Khola R (mm)","Mai Khola WTR_LVL (m)","Nayabazar - Namsaling R (mm)","Nayabazar - Namsaling WTR_LVL (m)","Pashupatingar R (mm)","Pashupatingar WTR_LVL (m)","Sandakpur - Hilltop R (mm)","Sandakpur - Hilltop WTR_LVL (m)","Sandakpur - Valley R (mm)","Sandakpur - Valley WTR_LVL (m)"
"01/07/2024 15:55:00",,,,,,,,,0,,,
"01/07/2024 16:00:00",0,,,0.42,0,,0,,,,0,
"01/07/2024 16:05:00",,,,,,,,,0,,,
"01/07/2024 16:15:00",0,,,0.43,0,,0,,0,,0,
"01/07/2024 16:25:00",,,,,,,,,0,,,
"01/07/2024 16:30:00",0,,,0.45,0,,0,,,,0,
"01/07/2024 16:35:00",,,,,,,,,0,,,
"01/07/2024 16:45:00",0,,,0.46,0,,0,,0,,0,
"01/07/2024 16:55:00",,,,,,,,,0,,,
"01/07/2024 17:00:00",0,,,0.47,0,,0,,,,0,
"01/07/2024 17:05:00",,,,,,,,,0,,,
"01/07/2024 17:15:00",0,,,0.48,0,,0,,0,,0,
"01/07/2024 17:25:00",,,,,,,,,0,,,
"01/07/2024 17:30:00",0,,,0.49,0,,0,,,,0,
"01/07/2024 17:35:00",,,,,,,,,0,,,
"01/07/2024 17:45:00",0,,,0.48,0,,0,,0,,0,
"01/07/2024 17:55:00",,,,,,,,,0,,,
"01/07/2024 18:00:00",0,,,0.47,0,,0,,,,0,
"01/07/2024 18:05:00",,,,,,,,,0,,,
"01/07/2024 18:15:00",0,,,0.45,0,,0,,0,,0,
"01/07/2024 18:25:00",,,,,,,,,0,,,
"01/07/2024 18:30:00",0,,,0.43,0,,0,,,,0,
"01/07/2024 18:35:00",,,,,,,,,0,,,
"01/07/2024 18:45:00",0,,,0.42,0,,0,,0,,0,
"01/07/2024 18:55:00",,,,,,,,,0,,,
"01/07/2024 19:00:00",0,,,0.41,0,,0,,,,0,
"01/07/2024 19:05:00",,,,,,,,,0,,,
"01/07/2024 19:15:00",0,,,0.41,0,,0,,0,,0,
"01/07/2024 19:25:00",,,,,,,,,0,,,
"01/07/2024 19:30:00",0,,,0.41,0,,0,,,,0,
"01/07/2024 19:35:00",,,,,,,,,0,,,
"01/07/2024 19:45:00",0,,,0.42,0,,0,,0,,0,
"01/07/2024 19:55:00",,,,,,,,,0,,,
"01/07/2024 20:00:00",0,,,0.42,0,,0,,,,0,
"01/07/2024 20:05:00",,,,,,,,,0,,,
"01/07/2024 20:15:00",0,,,0.42,0,,0,,0,,0,
"01/07/2024 20:25:00",,,,,,,,,0,,,
"01/07/2024 20:30:00",0,,,0.42,0,,0,,,,0,
"01/07/2024 20:35:00",,,,,,,,,0,,,
"01/07/2024 20:45:00",0,,,0.41,0,,0,,0,,0,
"01/07/2024 20:55:00",,,,,,,,,0,,,
"01/07/2024 21:00:00",0,,,0.4,0,,0,,,,0,
"01/07/2024 21:05:00",,,,,,,,,0,,,
"01/07/2024 21:15:00",0,,,0.39,0,,0,,0,,0,
"01/07/2024 21:25:00",,,,,,,,,0,,,
"01/07/2024 21:30:00",0,,,0.38,0,,0,,,,0,
"01/07/2024 21:35:00",,,,,,,,,0,,,
"01/07/2024 21:45:00",0,,,0.37,0,,0,,0,,0,
"01/07/2024 21:55:00",,,,,,,,,0,,,
"01/07/2024 22:00:00",0,,,0.37,0,,0,,,,0,
"01/07/2024 22:05:00",,,,,,,,,0,,,
"01/07/2024 22:15:00",0,,,0.38,0,,0,,0,,0,
"01/07/2024 22:25:00",,,,,,,,,0,,,
"01/07/2024 22:30:00",0,,,0.4,0,,0,,,,0,
"01/07/2024 22:35:00",,,,,,,,,0,,,
"01/07/2024 22:45:00",0,,,0.43,0,,0,,0,,0,
"01/07/2024 22:55:00",,,,,,,,,0,,,
"01/07/2024 23:00:00",0,,,0.43,0,,0,,,,0,
"01/07/2024 23:05:00",,,,,,,,,0,,,
"01/07/2024 23:15:00",0,,,0.42,0,,0,,0,,0,
"01/07/2024 23:25:00",,,,,,,,,0,,,
